texte,emotion
Je redoute ce qui va arriver !,peur
J'ai si peur !! 😱,peur
Je suis particulièrement en colère 🤬,colère
Je traverse une période difficile . 😢,tristesse
Je redoute ce qui va arriver !!,peur
Je proteste contre le cours à Lomé !!,colère
Je suis tellement en colère 😡,colère
Stupéfiant ! 😮,surprise
J'ai si peur ! 😨,peur
Quelle le serveur formidable …,joie
Je proteste contre la décision hier soir .,colère
Je reste bouche bée !!,surprise
Cela m'énerve au plus haut point …,colère
Je suis très triste,tristesse
Excellente nouvelle !!,joie
C'est inadmissible !!,colère
C'est un jour morose !!,tristesse
Quelle la situation formidable !!,joie
Je ne supporte plus le système !,colère
Je me sens plein d'enthousiasme …,joie
Cela m'énerve au plus haut point !,colère
Je traverse une période difficile .,tristesse
Cela me fait frissonner !,peur
Je suis particulièrement heureux aujourd'hui 🥳,joie
Je ne supporte plus le match !,colère
Je traverse une période difficile ! 😭,tristesse
Cela me fait frissonner ?!,peur
Je redoute ce qui va arriver !!,peur
Stupéfiant ! 🤯,surprise
Je suis très heureux aujourd'hui 😄,joie
J'ai le cœur lourd …,tristesse
J'ai le cœur lourd !,tristesse
J'ai le cœur lourd !,tristesse
Incroyable tournure pour cette nouvelle hier soir !!,surprise
C'est très inattendu !,surprise
Cela me fait frissonner ?!,peur
Je traverse une période difficile .,tristesse
Je ne suis pas rassuré !! 😨,peur
Cela m'énerve au plus haut point ?!,colère
Cela me fait frissonner !!,peur
Je traverse une période difficile !! 😢,tristesse
Je suis vraiment heureux aujourd'hui 🥳,joie
Quelle ce message formidable ?!,joie
Je suis anxieux à propos de le match au travail …,peur
le vol ASECNA me peine ?!,tristesse
Ça me rend particulièrement content … 🥳,joie
Je redoute ce qui va arriver !,peur
Je suis vraiment heureux aujourd'hui,joie
"J'apprécie la situation ce matin, c'est génial !!",joie
C'est un jour morose !!,tristesse
la situation me peine !,tristesse
ce message me met hors de moi … 🤬,colère
Je ne m'y attendais pas !!,surprise
Je me sens abattu ?!,tristesse
Cela m'énerve au plus haut point .,colère
Je traverse une période difficile ! 😭,tristesse
Quelle surprise ?! 🤯,surprise
Je me sens plein d'enthousiasme …,joie
Je suis anxieux à propos de le projet à la maison !!,peur
C'est un jour morose !,tristesse
le vol ASECNA me met hors de moi !,colère
Le cours me peine !,tristesse
Excellente nouvelle . 🙂,joie
Je traverse une période difficile ?!,tristesse
J'ai le cœur lourd !,tristesse
Ça me rend très content !!,joie
Ça me rend vraiment content ?!,joie
Cela me fait frissonner ?!,peur
Je suis tellement triste 😭,tristesse
Je reste bouche bée !!,surprise
Je suis particulièrement triste,tristesse
Cette le serveur m'inquiète !,peur
le système me met hors de moi !! 🤬,colère
Je me sens plein d'enthousiasme !!,joie
Je me sens abattu !!,tristesse
J'ai tellement peur … 😨,peur
Ça me rend tellement content ?! 🥳,joie
Stupéfiant !! 🤯,surprise
Incroyable tournure pour le projet à l'école !,surprise
Cela m'énerve au plus haut point !,colère
C'est inadmissible .,colère
Je suis anxieux à propos de le résultat à l'école .,peur
Je redoute ce qui va arriver ?!,peur
C'est ô combien inattendu !!,surprise
Ça me rend très content ! 🙂,joie
Je suis particulièrement heureux aujourd'hui 😄,joie
Je ne supporte plus cette nouvelle !,colère
Je suis particulièrement heureux aujourd'hui,joie
Ça me rend vraiment content !! 🥳,joie
C'est tellement inattendu !!,surprise
Je suis anxieux à propos de la météo dans l'équipe …,peur
C'est vraiment inattendu !!,surprise
Je ne m'y attendais pas !,surprise
Je ne supporte plus le match !,colère
Je ne supporte plus la météo !!,colère
Je proteste contre la décision à l'école …,colère
Ça me rend tellement content !! 🥳,joie
Incroyable tournure pour le résultat au travail !!,surprise
ce message me peine !,tristesse
le match me peine …,tristesse
Quelle surprise … 😲,surprise
C'est particulièrement inattendu !,surprise
Je ne suis pas rassuré !! 😨,peur
Cela me fait frissonner !,peur
Je traverse une période difficile … 😭,tristesse
Excellente nouvelle !!,joie
Incroyable tournure pour le cours hier soir …,surprise
Cette la décision m'inquiète !,peur
C'est inadmissible !,colère
J'ai le cœur lourd …,tristesse
Je suis très heureux aujourd'hui 🥳,joie
Stupéfiant !! 🤯,surprise
Quelle le résultat formidable !!,joie
Ça me rend tellement content !! 🥳,joie
Je suis anxieux à propos de le projet la semaine prochaine .,peur
Je ne m'y attendais pas …,surprise
